accuracy,precision,recall,f1,roc_auc,true_positives,false_positives,true_negatives,false_negatives,model,parameters,train_time
0.6633986928104575,0.22448979591836735,0.4489795918367347,0.29931972789115646,0.6052965933455094,22,76,181,27,ResNet,113858,1.9132959842681885
0.6633986928104575,0.21875,0.42857142857142855,0.2896551724137931,0.5856825220360518,21,75,182,28,Gated NN,25986,0.9217185974121094
0.6437908496732027,0.20588235294117646,0.42857142857142855,0.2781456953642384,0.5837767013420154,21,81,176,28,Simple Attention,29826,1.5486788749694824
0.6764705882352942,0.2159090909090909,0.3877551020408163,0.2773722627737226,0.5936234415945366,19,69,188,30,Basic NN,15330,3.458064317703247
0.6601307189542484,0.20430107526881722,0.3877551020408163,0.2676056338028169,0.5809973794965456,19,74,183,30,Ensemble,26356,1.149869680404663
